Processor,Camera,phoneName,price,ram_memory,rom_memory,Display Size,battery
Qualcomm Snapdragon 665 Processor,12MP + 2MP + 2MP | 8MP Front Camera,Realme Narzo 20A ,"8,499",3 GB RAM , 32 GB ROM ,16.94 cm  Full HD+ ,5000 
Qualcomm Snapdragon 665 Processor,12MP + 2MP + 2MP | 8MP Front Camera,Realme Narzo 20A ,"8,499",4 GB RAM , 64 GB ROM ,16.94 cm  Full HD+ ,5000 
Qualcomm Snapdragon 662 Processor,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,Realme 7i ,"11,999",4 GB RAM , 64 GB ROM ,16.59 cm  HD+ ,5000 
Qualcomm Snapdragon 662 Processor,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,Realme 7i ,"11,999",4 GB RAM , 64 GB ROM ,16.56 cm  HD+ ,5200 
MediaTek Helio G70 Processor,16MP + 2MP + 2MP + Low Light Sensor | 8MP Front Camera,Infinix Hot 10 ,"9,499",3 GB RAM , 32 GB ROM ,16.94 cm  Full HD+ ,6000 
Mediatek Helio A25 Processor,13MP + Depth Sensor | 8MP Front Camera,Infinix Smart 4 Plus ,"7,999",4 GB RAM , 64 GB ROM ,15.5 cm  ,4300 
MediaTek Helio G90T Processor,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,Realme 6i ,"12,999",8 GB RAM , 128 GB ROM,16.59 cm  Full HD+ ,4000 
MTK MT6771V(P70) 64bit Processor,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,OPPO Reno2 F ,"21,990",6 GB RAM , 256 GB ROM,16.76 cm  HD+ ,4000 
MediaTek Helio P70 Processor,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,OPPO Reno2 F ,"17,990",6 GB RAM , 128 GB ROM ,16.76 cm  Full HD+ ,4500 
Qualcomm Snapdragon 730G Processor,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,POCO X2 ,"15,999",6 GB RAM , 128 GB ROM ,90 Hz Ultra Smooth ,5000 
Qualcomm Snapdragon 730G Processor,64MP + 8MP + 5MP + 2MP | 16MP Front Camera,Motorola One Fusion+ ,"17,499",4 GB RAM , 64 GB ROM ,Side Fingerprint Sensor | Dual In ,5000 
Helio G70 Processor,12MP + 2MP | 5MP Front Camera,Realme C3 ,"9,999",4 GB RAM , 64 GB ROM ,16.51 cm  HD+ ,5000 
MediaTek Helio P22 (64 bit) Processor,13 MP + 2 MP + 2 MP + Low Light Sensor | 8MP Front Camera,Infinix Hot 9 ,"9,499",3 GB RAM , 32 GB ROM ,16.51 cm  HD+ ,5000 
Snapdragon 439 Processor,13MP + 2MP | 8MP Front Camera,Vivo Y12s ,"9,990",8 GB RAM , 128 GB ROM ,16.51 cm  HD+ ,5000 
Qualcomm Snapdragon 665 Processor,13MP + 8MP + 2MP + 2MP | 16MP Front Camera,Vivo Y50 ,"16,490",8 GB RAM , 128 GB ROM ,90 Hz Ultra Smooth ,5000 
