,Phone_Name,Processor,RAM,Display,Camera,Price,Battery
393,"Redmi 8A Dual (Midnight Grey, 64 GB)",Qualcomm Snapdragon 720G Processor,8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,48 MP AI Quad camera,"₹8,979",3765 mAh Battery
394,"Realme X3 SuperZoom (Arctic White, 256 GB)",Kirin 710F Processor,6 GB RAM | 128 GB ROM,15.75 cm (6.2 inch) HD+ Display,13MP Rear Camera,"₹29,999",4820 mAh Battery
395,"Realme X3 SuperZoom (Arctic White, 128 GB)",Qualcomm Snapdragon 720G Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,"₹27,999",4000 mAh Li-polymer Battery
396,"Samsung Galaxy M01s  (Light Blue, 32 GB)",Qualcomm Snapdragon 720G Processor,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,Super AMOLED Display,64MP + 8MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,"₹9,539",5020 mAh Battery
397,"Realme Narzo 10A (So White, 64 GB)",Qualcomm Snapdragon 720G Processor,8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Display,64MP + 8MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,"₹9,999",3765 mAh Battery
398,"Realme Narzo 10A (So Blue, 64 GB)",MediaTek Helio G80 (12 nm) Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,"₹9,999",5000 mAh Lithium Polymer Battery
399,"Realme Narzo 10A (So White, 32 GB)",Qualcomm Snapdragon 665 Processor,6 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,"₹8,999",4820 mAh Battery
400,"Vivo V17Pro (Midnight Ocean Black, 128 GB)",Qualcomm Snapdragon 439 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,90 Hz Ultra Smooth Display,12MP + 2MP + 2MP | 5MP Front Camera,"₹22,990",4000 mAh Li-polymer Battery
401,"Vivo Y19 (Spring White, 128 GB)",MediaTek Helio P95 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,"₹15,990",5020 mAh Battery
402,"Nokia C3 (Sand, 16 GB)",A13 Bionic Chip Processor,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,48MP + 13MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,"₹6,999",5020 mAh Battery
403,"Redmi Note 8 (Neptune Blue, 32 GB)",Qualcomm Snapdragon 460 Processor,6 GB RAM | 128 GB ROM,16.66 cm (6.56 inch) Full HD+ E3 Super AMOLED Display,16MP + 8MP + 2MP | 16MP Front Camera,"₹10,978",3750 mAh Battery
404,"Redmi Note 9 Pro Max (Glacier White, 128 GB)",MediaTek Helio G90T Processor,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,13.46 cm (5.3 inch) Full HD+ Display,8MP Rear Camera | 5MP Front Camera,"₹18,388",5000 mAh Lithium Polymer Battery
